userName,score,at,content,label
Pengguna Google,1,2026-05-31 09:31:10,jangan karna ownernya masuk penjara jadi lemot dah apk nya,Negatif
Pengguna Google,5,2026-05-31 09:09:13,baik,Positif
Pengguna Google,5,2026-05-31 09:02:52,mantabs 👍🏻,Positif
Pengguna Google,5,2026-05-31 08:59:37,mantap,Positif
Pengguna Google,5,2026-05-31 08:55:09,"Gofood sangat membantu sekali dalam keadaan lapar tapi mager. Gojek sangat membantu saat bepergian tapi mager bawa kendaraan atau sedang tidak bawa kendaraan. Gosend sangat membantu saat ingin mengirim sesuatu tapi mager. Gocar, Go shop juga ok keren pokoknya sangat membantu saya saat dibutuhkan.",Positif
Pengguna Google,5,2026-05-31 08:44:28,terimakasih atas penanganan call center 24 jam sangat cepat,Positif
Pengguna Google,5,2026-05-31 07:57:27,tangkurak sia,Positif
Pengguna Google,5,2026-05-31 07:51:40,banyakkkk bgttt promonya dan g nanggung klo ada promo,Positif
Pengguna Google,3,2026-05-31 07:48:55,"sangat disayangkan driver nya masih ada aja yg klo ga mau ambil orderan di chat ataupun ditelpon ga direspon dan diem aja ga gerak.. harus ada perhatian dr aplikasi untuk driver yg seperti ini, gpp klo ga mau ambil orderan, tinggal chat customer aja kok, jangan diem aja sampe kita nunggu lama dan akhirnya jg cancel.. jd buang2 waktu aja jd nya",Negatif
Pengguna Google,5,2026-05-31 07:48:40,sangat membantu,Positif
Pengguna Google,5,2026-05-31 07:17:46,aplikasi yg sangat membantu,Positif
Pengguna Google,5,2026-05-31 07:17:26,terbantukan dg gojek. thank alot... sukses buat smua,Positif
Pengguna Google,1,2026-05-31 07:15:12,aplikasi sampah. pesen makanan ga dapet dapet driver. dipikir pesen makan cuman buat nunggu kali? ya buat makan lah!!,Negatif
Pengguna Google,5,2026-05-31 07:02:58,"info aja kalau mau jadi mitra grab khusus motor mending batalin aja sudah penuh, yg dicari cuma yang mobil",Positif
Pengguna Google,5,2026-05-31 07:02:17,👍👍👍👍👍,Positif
Pengguna Google,1,2026-05-31 06:45:39,sekarang kalau mau gofood kenapa estimasi waktu sampainya lama sekali terutama yang diskon murah. padahal makanan yang disiapkan termasuk ringan dan ringkas.,Negatif
Pengguna Google,5,2026-05-31 06:25:38,aman,Positif
Pengguna Google,5,2026-05-31 05:57:01,bagusss,Positif
Pengguna Google,5,2026-05-31 05:43:35,"bagus mantap, pelayanan ok... saran untuk metode pembayaran gopay di permudah, masa setengah², udh bayar lewat gopay bayar lagi sisa nya cash.",Positif
Pengguna Google,4,2026-05-31 05:39:40,mahal terus kalau hujan susah dapet driver,Positif
Pengguna Google,5,2026-05-31 05:19:40,mantaps,Positif
Pengguna Google,5,2026-05-31 05:06:15,Warung bukak jadi tutup,Positif
Pengguna Google,5,2026-05-31 05:04:58,kerja cepat dan tanggung jawab❤️,Positif
Pengguna Google,5,2026-05-31 04:39:09,cepat sekali,Positif
Pengguna Google,5,2026-05-31 04:36:02,Bagus Cepat,Positif
Pengguna Google,5,2026-05-31 04:32:12,senang...baik drivernya,Positif
Pengguna Google,5,2026-05-31 04:21:32,cepat aman dan nyaman,Positif
Pengguna Google,5,2026-05-31 04:20:53,sangat membantu aplikasi ini untuk kegiatan yg super sibuk,Positif
Pengguna Google,1,2026-05-31 04:15:47,i hate gojek. mau hapus akun aja saldonya harus nol dulu. ribet banget malah jadi rugi banyak.,Negatif
Pengguna Google,5,2026-05-31 04:14:51,It's Very Good,Positif
Pengguna Google,5,2026-05-31 04:12:34,sopirnya enak ramah & sabar,Positif
Pengguna Google,5,2026-05-31 04:03:08,cepat dan aman,Positif
Pengguna Google,5,2026-05-31 03:57:33,keren ... gak banyak drama langsung sat set gak kayak aolikasi sebelah...,Positif
Pengguna Google,5,2026-05-31 03:57:08,Mantap,Positif
Pengguna Google,5,2026-05-31 03:51:23,padu,Positif
Pengguna Google,1,2026-05-31 03:38:51,Gk bermutu...pinjaman gak pernah telat bayar..tapi pas lunas mau ajuin lagi gak bisa...sesuai mood yah yg ACC pinjaman di gojek,Negatif
Pengguna Google,1,2026-05-31 03:36:19,"kalo supir gocar nggak mau nerima orderan , bukannya di tolak atau ngasi tauu ke customer. malah dibiarin gitu aja . nyusahinn",Negatif
Pengguna Google,5,2026-05-31 03:32:33,baik drivernya,Positif
Pengguna Google,3,2026-05-31 03:18:17,"selalu apes,,pesen gocar XL,,dapetny calya/sigra...",Negatif
Pengguna Google,4,2026-05-31 03:11:22,lebih detail dripada apk sebelah,Positif
Pengguna Google,5,2026-05-31 02:58:38,the best,Positif
Pengguna Google,5,2026-05-31 02:57:19,"sampai sekarang saya nyaman pake Gojek ,Terima kasih",Positif
Pengguna Google,5,2026-05-31 02:39:49,okkkkkkk,Positif
Pengguna Google,5,2026-05-31 02:39:28,enak nyaman cepet sampai tarif murah terima kasih gojek,Positif
Pengguna Google,1,2026-05-31 02:21:20,LEMOT MAHAL STUPID TLOLL,Negatif
Pengguna Google,1,2026-05-31 02:17:36,"Di bagian GoPulsa, apa maksudnya provider tidak tersedia? Perbaiki yg benar! Jgn mempersulit!",Negatif
Pengguna Google,1,2026-05-31 02:03:23,semoga bangkrut,Negatif
Pengguna Google,5,2026-05-31 02:02:44,bagus dan aman,Positif
Pengguna Google,1,2026-05-31 01:50:06,Solusi driver kabur bawa orderan gofood dong,Negatif
Pengguna Google,4,2026-05-31 01:49:39,"tolong dong bagian gofood nya bisa chat pihak resto, kalo cs kelupaan psg deskripsi mau komunikasi pihak resto mengenai detail makanan spt bagian ayam paha atau dada tu nyusahin bgt, mana resto tuh dikasi rata dada (bagi yg gak suka) mau minta tukar driver gak mau krna estimasi hrs tepat waktu😭",Positif
Pengguna Google,5,2026-05-31 01:32:33,pasti terlaksana apapun kebutuhan kita di waktu memakai aplikasi ini👍,Positif
Pengguna Google,5,2026-05-31 01:13:53,drivernya ramah,Positif
Pengguna Google,5,2026-05-31 01:11:44,sangat berguna saat buru2,Positif
Pengguna Google,1,2026-05-31 00:35:58,aplikasinya selalu bermasalah,Negatif
Pengguna Google,5,2026-05-30 23:48:06,oke,Positif
Pengguna Google,5,2026-05-30 23:41:56,lebih cepat jemput,Positif
Pengguna Google,5,2026-05-30 23:07:45,sangat oke... baik diperjalanan sangat membantu disaat diperlukan,Positif
Pengguna Google,5,2026-05-30 23:00:02,oke,Positif
Pengguna Google,5,2026-05-30 22:53:42,cepat dan ga ribet,Positif
Pengguna Google,5,2026-05-30 22:28:42,ok,Positif
Pengguna Google,5,2026-05-30 22:22:59,baik & bagus servis nya 👍👍,Positif
Pengguna Google,5,2026-05-30 22:20:43,good,Positif
Pengguna Google,5,2026-05-30 22:18:34,wow,Positif
Pengguna Google,2,2026-05-30 22:05:10,tiap hari langganan Go-Jek ke mana-mana tapi nyari driver nyah setengah mati Go-Jek kekurangan driver apa gii mana ?,Negatif
Pengguna Google,5,2026-05-30 22:04:42,aplikasi terpercaya untuk pengguna yang cepat tanggap respon,Positif
Pengguna Google,5,2026-05-30 20:49:22,bagus dan membantu,Positif
Pengguna Google,1,2026-05-30 18:53:24,Lamaaa. kalo mesen gofood suka di cancel driver. mana ga bisa dibatalin. benahin dong sistemnya,Negatif
Pengguna Google,1,2026-05-30 18:10:41,kelamaan.,Negatif
Pengguna Google,1,2026-05-30 17:51:08,"ada saldo di gojek tbtb habis kepotong biaya yang gajelas , kaya capcut dan remini ai padahal gak ada aplikasinya dan gapernah pake, sumpah kecewa bener, niatnya mau nabung di gojek malah kepotong biaya gak jelas, najis",Negatif
Pengguna Google,3,2026-05-30 17:36:34,"sistem sering eror, posisi Driver tidak bergerak padahal drivernya sudah jalan",Negatif
Pengguna Google,2,2026-05-30 17:18:18,ku kasih 2 bintang karena drivernya susah di wilayah sragen perjalanannya kurang membantu,Negatif
Pengguna Google,5,2026-05-30 16:46:12,mantap,Positif
Pengguna Google,1,2026-05-30 16:42:18,"DEVELOPER TOLOL GAK BISA TEGAS KE MITRA REKRUTANNYA, MITRA DRIVERNYA BRENGSEK SEMUA!!!",Negatif
Pengguna Google,1,2026-05-30 16:35:56,"Jelek bgt sistem Gofood nya. . ga bisaa di cancel, Harus nunggu lama banget ternyata belum di proses juga!! Apa lagi pas cari Diver lama, ga langsung di cancel malah gunta ganti Driver. KLO orang sekarat udh keburu MATI!",Negatif
Pengguna Google,1,2026-05-30 16:35:26,cape perjalanan dari cikarang ke jakarta hujan deres gada yg mau ambil orderan dari motor sampe mobil cancel trs!! nunggu dari jam 10 malam sampe jam 11 malam gada juga...,Negatif
Pengguna Google,5,2026-05-30 16:20:07,good,Positif
Pengguna Google,5,2026-05-30 15:58:09,Jujur utk aplikasi transportasi aku selalu pakai Gojek. Drivernya hampir semua ramah-ramah. Dan ntah kenapa selalu merasa safety kalau naik ini. Promo juga lumayan pokoknya langganan aja kuncinya. Tp paling penting kenyamanan sih. Tetap pertahanin plisss !!!,Positif
Pengguna Google,5,2026-05-30 15:54:49,baik,Positif
Pengguna Google,5,2026-05-30 15:40:05,"jek,mau nanya ni,KENAPA ULASAN DI APP DRIVER GOJEK TIDAK PERNAH DIBALAS OLEH KALIAN,APAKAH DRIVER TIDAK PENTING BAGI KALIAN?",Positif
Pengguna Google,5,2026-05-30 15:25:45,"Udah paling nyaman dah Gojek mah, mantap.",Positif
Pengguna Google,5,2026-05-30 15:03:26,sangat membantu jika lagi laper pesen di gofood👍,Positif
Pengguna Google,2,2026-05-30 14:57:49,ini gojek ada apa kok di gojek saldo update tolong perbaiki,Negatif
Pengguna Google,5,2026-05-30 14:34:49,good,Positif
Pengguna Google,1,2026-05-30 14:34:22,makanan selisih 7.000 dari harga aslinya belum lagi ada tambahan biaya penangan dan pengiriman. jika harga asli di toko ofline 21.000 di aplikasi i 28.000 di tambah biaya penangan dan pengiriman total ketemu 40 lebih,Negatif
Pengguna Google,1,2026-05-30 14:27:28,nyari driver susah,Negatif
Pengguna Google,5,2026-05-30 14:19:00,mudah akses,Positif
Pengguna Google,1,2026-05-30 14:16:47,"padahal saya cuma disuruh batalin, malah disuruh bayar denda 3rb saya kecewa",Negatif
Pengguna Google,5,2026-05-30 14:04:25,ok,Positif
Pengguna Google,1,2026-05-30 13:41:27,pesanan jelek,Negatif
Pengguna Google,4,2026-05-30 13:33:54,Lumayan Bagus 😊🙏,Positif
Pengguna Google,5,2026-05-30 13:33:35,ok,Positif
Pengguna Google,5,2026-05-30 13:30:00,banyak hal jadi lebih mudah setelah ada gojek. mau pergi kemanapun dan pesan apapun bisa dari rumah dan jadi lebih praktis love buat gojek🫶 semoga sukses selalu,Positif
Pengguna Google,5,2026-05-30 13:09:09,cukup bagus,Positif
Pengguna Google,1,2026-05-30 13:07:21,susah amat nyari driver padahal bayar ga gratis wkwk,Negatif
Pengguna Google,5,2026-05-30 12:48:15,mantul,Positif
Pengguna Google,5,2026-05-30 12:19:04,gojek kok mahal sekarang,Positif
Pengguna Google,5,2026-05-30 12:01:21,"pengiriman cepat, tepat waktu, banyak diskonnya.. sukses selalu gojek. mudah cari semua menu di aplikasi ini",Positif
Pengguna Google,5,2026-05-30 11:53:08,tolong dong datang ke daerah plosok aku beneran butuh gojek kalo beneran urgent disini susah banget 😭😭,Positif
Pengguna Google,1,2026-05-30 11:37:17,"sudah menghubungi pusat bantuan, tapi tidak membuahkan hasil uang hilang 5,6 juta",Negatif
Pengguna Google,5,2026-05-30 11:30:23,👍👍👍,Positif
Pengguna Google,1,2026-05-30 11:26:53,dengan berat hati saya kasih rating 1 untuk aplikasi dan driver gojek. saya sudah booking gocar dari pukul 17.00 sampai pukul 18.00 semua di cancel setelah tau saya bawa belanjaan. Perbaiki dulu sistemnya.,Negatif
Pengguna Google,5,2026-05-30 11:22:39,sangat bermanfaat,Positif
Pengguna Google,5,2026-05-30 11:12:46,good,Positif
Pengguna Google,5,2026-05-30 11:11:52,mantap,Positif
Pengguna Google,5,2026-05-30 11:05:07,Aplikasi yang sangat kompleks dan usefull di era teknologi,Positif
Pengguna Google,5,2026-05-30 11:00:52,Drivernya cepat responnya tapi kadang kadang apilakasinya gangguan,Positif
Pengguna Google,1,2026-05-30 10:49:06,"makin kesini driver pada mageran ambil order, sorry",Negatif
Pengguna Google,1,2026-05-30 10:48:13,sekarang kenapa susah banget dah nyari drivernya? udh bangkrut kah?,Negatif
Pengguna Google,5,2026-05-30 10:46:12,"Aplikasi nya sangat bermanfaat terima kasih, serta memudahkan saya untuk kegiatan sehari-hari",Positif
Pengguna Google,5,2026-05-30 10:42:05,ekonomis,Positif
Pengguna Google,2,2026-05-30 10:41:26,tidak kompeten,Negatif
Pengguna Google,1,2026-05-30 10:38:24,"aku ga ada masalah sama apk nya, tapi aku gasuka BANGET sama driver2nya yang kasar. waktu itu ada yg ngomel sepanjang jalan karena bilangnya knp pesen hemat, ada opang blabla sampai sakit telinga aku dengernya. klo gamau cancel aja, gausah nerima tp ngasih pelayanan buruk.",Negatif
Pengguna Google,5,2026-05-30 10:19:11,puas dg layanan gojek,Positif
Pengguna Google,4,2026-05-30 10:01:26,bagus banget,Positif
Pengguna Google,5,2026-05-30 09:59:41,saya suka gojek dan semua dr aplikasi ini semoga makin jaya gojek Indonesia,Positif
Pengguna Google,1,2026-05-30 09:41:25,"ga pemilik aplikasi nya ,ga pengiklan nya ,ga penjual di aplikasi nya problematik semua",Negatif
Pengguna Google,5,2026-05-30 09:39:05,"katanya potongan cuma 8%,ke driver. gw dapet order 20rb di potong 6.500. ini mah udah 30% lebih. kalau 10% ajah 2000 potongan😆",Positif
Pengguna Google,5,2026-05-30 09:34:18,"oke, sangat membantu",Positif
Pengguna Google,5,2026-05-30 09:18:54,paling murah,Positif
Pengguna Google,5,2026-05-30 08:49:54,sangat membantu,Positif
Pengguna Google,5,2026-05-30 08:36:01,aplikasi bagus bangga buatan Indonesia,Positif
Pengguna Google,5,2026-05-30 08:22:14,saya pernah membayar 2 kali dan dikembalikan🥳 makasih bgt gojek amanah,Positif
Pengguna Google,5,2026-05-30 08:18:35,sangat puas naik gojek,Positif
Pengguna Google,5,2026-05-30 08:16:47,"gojek emang nyaman kemana "" aman",Positif
Pengguna Google,5,2026-05-30 08:02:21,bermanfaat bgtt,Positif
Pengguna Google,4,2026-05-30 07:56:50,GPS melenceng saat menentukan mau dikirim barang GPS ya melenceng..,Positif
Pengguna Google,5,2026-05-30 07:54:44,sangat membantu,Positif
Pengguna Google,5,2026-05-30 07:52:24,memudahkan dan banyak promo,Positif
Pengguna Google,5,2026-05-30 07:49:53,baguss,Positif
Pengguna Google,1,2026-05-30 07:41:15,udh nahan laper di batalin tlol bngt ni aplikasi mending pake apl sebelah,Negatif
Pengguna Google,1,2026-05-30 07:32:46,"sebelum beli langganan plus,biaya ongkir gofood sangat murah,setelah beli langganan plus,ongkir jadi super mahal hanya dapat gimik diskon dan promo",Negatif
Pengguna Google,1,2026-05-30 07:31:08,"Mohon diberikan pembinaan atau sejenisnya kepada (oknum driver mobil) yang tidak mengaktifkan gps sewaktu memesan dan slow respon dalam membalas chat. Kasian kami pesen hampir menunggu 50 menit namun seakan tidak ada kepastian kapan datangnya padahal hanya berjarak 1,5 km dari titik jemput. Jika tidak mau mengambil silahkan chat saja calon penumpang supaya dicancel dan bisa nyari driver lainnya. Maaf terpaksa kami cancel karena ortu saya sedang sakit kelamaan menunggu🙏🏻. terimakasih",Negatif
Pengguna Google,4,2026-05-30 07:25:52,mntap,Positif
Pengguna Google,5,2026-05-30 07:16:29,ngebantu kalo lg mager,Positif
Pengguna Google,1,2026-05-30 07:08:49,"aplikasi gabener, masa gw booking gada yg ngambil",Negatif
Pengguna Google,5,2026-05-30 07:07:01,jos,Positif
Pengguna Google,1,2026-05-30 06:56:43,"Susah dapat driver. Padahal lagi dibutuhin banget. Apa harus bayar 5x lipat dulu baru di ""prioritaskan"" ?",Negatif
Pengguna Google,5,2026-05-30 06:53:56,Untuk saat ini 👍,Positif
Pengguna Google,1,2026-05-30 06:36:39,Kecewa,Negatif
Pengguna Google,5,2026-05-30 06:36:00,"good job, dan menyenangkan.",Positif
Pengguna Google,5,2026-05-30 06:29:27,Terbaik pokoknya.,Positif
Pengguna Google,5,2026-05-30 06:24:51,mantap,Positif
Pengguna Google,5,2026-05-30 06:22:26,siap,Positif
Pengguna Google,1,2026-05-30 06:14:54,kenapa lama install nya,Negatif
