userName,score,at,content
Pengguna Google,1,2026-05-29 12:54:07,apl gak guna
Pengguna Google,1,2026-05-29 08:31:19,jelek nyaa banyak bug sama error engga jelas kaya di webnya
Pengguna Google,1,2026-05-29 08:25:34,"aplikasi ter stress, coba siapapun yg bikin aplikasi nya dibenahi lagi!! btl2 gajelas bgtt ntah itu di web di aplikasi gaje bgtt, plenger final"
Pengguna Google,1,2026-05-29 06:33:10,ngabisin anggaran doang bkin website kek kntlll
Pengguna Google,1,2026-05-29 02:02:39,gak guna sangat ribet. lebih nyaman pake e feling tapi cuma nyampe tahun 2024 taik lah sistem pajak
Pengguna Google,1,2026-05-28 23:01:37,"payah banget, login susah, sekalinya masuk, logout sendiri.."
Pengguna Google,1,2026-05-28 16:58:44,20min 9
Pengguna Google,1,2026-05-28 07:13:37,kartu npwpnya ga ada
Pengguna Google,1,2026-05-28 06:42:34,"aplikasi error terus...habis download malah masuk lagi ke browser..terus buat apa ada aplikasi nya...kalau bikin aplikasi mikir dulu, masa kalian di gaji pakai uang hasil keringat rakyat, kerja bikin aplikasi aja di persulit atau dipersusah tanpa adanya solusi...selamat atas bertambah nya dosa kalian"
Pengguna Google,1,2026-05-27 14:49:13,"input pasword, captha dan id udah bener dianggap salah pasword dan mesti reset pasword giliran udah reset trus log in pasword udah bener, id bener, captcha bener pas log in malah langsung error aplikasi nya lol"
Pengguna Google,3,2026-05-27 00:22:24,"aku sudah pilih jenis pekerjaan tapi pas diverifikasi gaa bisa, gj banget"
Pengguna Google,1,2026-05-26 19:46:20,"aplikasi biar ada aja, tolooool"
Pengguna Google,1,2026-05-26 16:24:13,"payah masa error 400 padahal jaringan baik, payah, sertifikat aktif, di aktivasi malah out."
Pengguna Google,1,2026-05-26 14:41:16,gabisa masuk trs padahal pasword sama nomor npwp udah bner
Pengguna Google,1,2026-05-26 09:28:40,busuk
Pengguna Google,1,2026-05-26 04:56:19,aplikasi eror tidak jelas
Pengguna Google,1,2026-05-26 03:36:54,aplikasinya jelek tolong diperbaiki lg! udh nunggu berjam jam ttep ga di verifikasi di nomor telepon
Pengguna Google,1,2026-05-26 03:12:33,kok ada aplikasi yg gak guna kayak gini ya ???
Pengguna Google,1,2026-05-25 18:22:05,apk nya ada paok paOk nya
Pengguna Google,1,2026-05-25 16:39:26,buang2 biaya aplikasi gak guna
Pengguna Google,5,2026-05-25 15:29:08,Terima kasih Manajemen Aplikasi M - Pajak
Pengguna Google,1,2026-05-25 11:09:19,APLIKASI PALING SUSAH DIGUNAKAN !!!
Pengguna Google,1,2026-05-25 11:06:06,eror!!!
Pengguna Google,1,2026-05-25 10:15:19,jelek bgt.
Pengguna Google,2,2026-05-25 09:09:24,sampah
Pengguna Google,5,2026-05-24 21:04:05,ok
Pengguna Google,5,2026-05-24 14:16:13,baik
Pengguna Google,1,2026-05-24 04:15:26,"aplikasi apa gabisa di gunakan padahal mau kerja penting malah banyak kali drama,email sama no hp pas yang terdaftar di djp tapi gabisa juga gabisa ter indifikasi apa cobak,lucu kali apk indonesia kalok gabisa buat gausah lah buat"
Pengguna Google,1,2026-05-24 03:45:23,mau daftar kendala kolom pekerjaan..aplikasi anying
Pengguna Google,1,2026-05-23 13:46:55,aneh
Pengguna Google,1,2026-05-23 06:29:29,"ini gimana sihh aplikasi report bangtt pas tahap pendaftaran kirim nomor handphone pas minta otp SMS kaggk muncul"" lihat di WhatsApp kaggk ada lihat di pesan kaggk ada ihhh gini amatt pajakk mah gedee terus apa gehh udh download aplikasi daftarnya di arahin ke website amang"" pemerintah doang ini mahh pajak doang GEDEEE , kaggk kayak aplikasi Porli daftar gampang kaggk ribettt ini mahh ihhh"
Pengguna Google,1,2026-05-23 05:53:11,aplikasi dongo
Pengguna Google,1,2026-05-23 01:28:39,kenapa slalu gagal terus yaa? aneh bgttt berkali2 nyoba ga bisa2
Pengguna Google,1,2026-05-22 04:20:53,aplikasi gagunaaaaaaaaaaa
Pengguna Google,5,2026-05-21 22:39:10,good
Pengguna Google,5,2026-05-21 16:57:46,oke
Pengguna Google,1,2026-05-21 15:46:32,gampang eror
Pengguna Google,5,2026-05-21 10:00:27,bagus
Pengguna Google,1,2026-05-21 08:40:55,aplikasii goblokk
Pengguna Google,1,2026-05-21 04:37:29,"sangat buruk,, bukanya mempermudah malah bikin emosi ,, begini amat jadi warga indo ,, banyakan di bug gak jelas mau daftar aja susah banget anjim"
Pengguna Google,1,2026-05-20 21:20:23,aplikasi sampah bikinan pemerintah tolol daftar aja susah Alamat dimna geograif nya dimna tolol
Pengguna Google,1,2026-05-20 18:06:28,aplikasi pajak banyak penipuan menggunakan aplikasi pajak ini saya sudah kena hack 100juta lebih bosss
Pengguna Google,1,2026-05-20 16:21:13,apk gak jelas udah buat apk masih masuk Google chrome situs pendaftaran npwp terlalu ribet gak jelas banyak bug
Pengguna Google,5,2026-05-20 10:49:15,ok
Pengguna Google,1,2026-05-20 08:44:45,"login di apl malah keluar ke situs,udah login di situs ga bisa masuk ke apl"
Pengguna Google,5,2026-05-20 07:31:07,tolong diperbaiki untuk website coretax nya kadang bisa kadang gak bisa
Pengguna Google,1,2026-05-20 06:20:16,aplikasi nya jelek amat sangat jelek.. saya suruh kirim bukti penerimaan elektronik data saya kok tidak dikirim kirim.. saya kecewa
Pengguna Google,1,2026-05-20 05:57:08,ini fungsi buat apk ini apaan dah bukan nya mempermudah malah mempersulit bolak balik verifikasi terus. kalau gak bisa bikin apk mending gak usah bikin kesal orng aja
Pengguna Google,1,2026-05-19 17:58:31,bikin kesel padahal udah isi pulsa tetep ja tidak muncul kodenya yang bner dong kapan maju nya nih Indonesia klw masih di persulit juga
Pengguna Google,1,2026-05-19 09:33:15,"apk ngawur, bilang harus laporan,mau masuk aja angel temen, pak pur gimana ini"
Pengguna Google,5,2026-05-19 07:26:55,niceee bisa lapor spt cepet bangettt
Pengguna Google,1,2026-05-19 03:34:55,"apk ini bukan resmi dari djp, pas gw tanya mereka emang ga pernah tulis aplikasi semuanya langsung ke email jadi ni apk palsu cik"
Pengguna Google,1,2026-05-19 01:55:23,SAMPAH
Pengguna Google,1,2026-05-18 16:19:52,apks apa ini Wei susah amat dapat verifikasi nya perbaiki lagi dong. suka amat buat rakyat kesusahan
Pengguna Google,5,2026-05-18 14:01:51,terbaik
Pengguna Google,1,2026-05-18 07:14:07,di kasih map ko map buta...bodoh kali org pajak ini...kaya di zaman purba aja...ini udh zaman canggih bos...pemerintah pinter bikin korupsi doang...bukannya mempermudah malah mempersulit!!!
Pengguna Google,1,2026-05-18 06:35:16,"APK AMPAS, GA ADA MEMPERMUDAH MALAH MEMPERSULIT"
Pengguna Google,1,2026-05-18 05:24:00,Pajak gua cuma buat bikin aplikasi begini?MIRIS
Pengguna Google,1,2026-05-18 02:27:49,tidak bisa Login aalsan internet gagal hapus saja aplikasi ini tidak bisa dipakai
Pengguna Google,1,2026-05-17 12:25:22,aplikasi cacat
Pengguna Google,1,2026-05-17 10:41:46,"apk gjls ngirim kode otp aja lamanya minta ampun, pajak aja digedein tpi apk kya gini lemotnya minta ampun"
Pengguna Google,1,2026-05-17 08:39:25,bukan coretax mobile
Pengguna Google,1,2026-05-16 23:25:39,ribet
Pengguna Google,1,2026-05-16 16:34:09,aplikasi gagal verif aja kikir make pulsa
Pengguna Google,1,2026-05-16 12:23:28,susah di akses
Pengguna Google,1,2026-05-16 11:03:16,apliksi ini perlu di benahi bnyak yg kna scam karna aplikasi ini termasuk saya
Pengguna Google,5,2026-05-16 01:44:43,nice
Pengguna Google,2,2026-05-16 00:46:05,"otp lama bgt Gilak ni, ada operatornya ga sih? kalo otomatis kok sejam ga kirim"" otp...hadehhh apk indo."
Pengguna Google,1,2026-05-15 15:38:12,"payah sistem nya , sangat rumit,duit pajak cuma bikin web Kya gini, tidak bisa membantu"
Pengguna Google,1,2026-05-15 10:52:19,layanan pemerintah gak di onlen gak di offline. dobol
Pengguna Google,1,2026-05-15 08:09:32,"mau bikin npwp susah banget, tinggal aktivasi saja kode otp GK di kirim kirim, pulsa masih banyak 20 ribuan ada, sama aja, payah😇😇"
Pengguna Google,5,2026-05-15 06:39:44,lebih mudah
Pengguna Google,2,2026-05-15 05:49:41,cara mau daftarnya susah dan ribet banget ... sampai emosi gw ...
Pengguna Google,1,2026-05-14 06:46:30,sampah aplikasi.. eror trus dirjen pajak koq aplikasi bgtu. huh
Pengguna Google,1,2026-05-14 04:38:32,gak kelas error terus
Pengguna Google,1,2026-05-13 15:30:16,tdak penting
Pengguna Google,1,2026-05-13 14:12:18,aplikasi kon62829 coretax gimana ko gak bisa log in
Pengguna Google,5,2026-05-13 14:06:38,sabgat memuaskan
Pengguna Google,1,2026-05-13 07:13:16,sampah macam apa yg menghabiskan kuota dan buang waktu ini
Pengguna Google,4,2026-05-13 07:06:44,suka
Pengguna Google,1,2026-05-13 06:46:54,jlek
Pengguna Google,1,2026-05-13 04:15:00,bobrok
Pengguna Google,1,2026-05-13 02:53:27,"apk apk begini ga pantes di buat sama orang tua,nyusahin anak muda aja mending pensiun dah"
Pengguna Google,4,2026-05-13 02:17:30,baik
Pengguna Google,1,2026-05-12 17:12:05,aplikasi gk guna nyusahin eror terus
Pengguna Google,1,2026-05-12 16:05:31,Sistem nya kurang memuaskan tolong diperbaiki
Pengguna Google,1,2026-05-12 16:02:39,"Susah banget buat verifikasi padahal udah masuk tapi tetap aja gak bisa login parah sihh gak ada guna nyaa gak bisa bikin online buanh"" pulsa dan tenaga"
Pengguna Google,1,2026-05-12 14:13:24,"Sudah verifikasj berkali kali, error, mana pake sms ,pake pulsa lagi, udah habis bbeberapa duit masih saja error, padahal tinggal kirim aja,"
Pengguna Google,1,2026-05-12 11:11:11,ribet banget
Pengguna Google,5,2026-05-12 06:24:27,nice
Pengguna Google,1,2026-05-12 03:36:53,aplikasi yang gak bermutu dan habisin anggaran doang
Pengguna Google,2,2026-05-11 16:34:55,"maaf ini aplikasi fungsinya buat apa ya, bermasalah terus kalau masuk. mohon sebelum rilis dipastikan aplikasi dalam keadaan baik. tujuannya mempermudah tapi malah mempersulit"
Pengguna Google,1,2026-05-11 11:34:40,aplikasi kurang membantu
Pengguna Google,1,2026-05-11 11:11:52,susah sekali daftarnya
Pengguna Google,1,2026-05-11 10:48:37,waste
Pengguna Google,1,2026-05-11 04:01:53,"ini teh dibayar anjir ama rakyat, sistemnya eror muku gabisa akses, butut bgt"
Pengguna Google,1,2026-05-11 03:23:09,"sumpah bug nya ga pernah di benerin, pantes aja merugikan negara org dalam nya aja ga pernah di benerin"
Pengguna Google,1,2026-05-11 00:27:14,aplikasi gaguna eror banget
Pengguna Google,1,2026-05-10 16:59:05,gunanya aplikasi apa ya.. gabisa dipake login udah data bener semua ttep gabisa
Pengguna Google,1,2026-05-10 10:37:52,"Mau bayar pajak aja dipersusah JEMBOET!!, ni aplikasi banyak bugnya woei!!"
Pengguna Google,1,2026-05-10 05:39:58,"aplikasi ga jelas, ga guna. mau login gagal terus, mau daftar atau registrasi ulang juga ga bisa keterangan nik sudah terdaftar. giliran mau login atau lupa sandi ga bisa juga. mempersulit sekali."
Pengguna Google,1,2026-05-10 00:11:50,"payah mau login aja susah betul, mana aktifasi doang aja makan waktu banget.... tolong lah orang mau taat pajak loh ini kok malah dipersulit"
Pengguna Google,1,2026-05-09 13:59:11,"aplikasi belum jadi udah dipake, banyak errornya"
Pengguna Google,1,2026-05-09 04:00:24,"susah dicerna, tolonglah perbaiki"
Pengguna Google,2,2026-05-09 02:38:12,"UI UX Nya ampas amat wkakckaka, Orang IT nya gimana si? boomers² bau tanah ssuruh bikin Aplikasi jdinya bgini, banyak eror, bug.. Form pendaftaran npwp aja gak jelas penulisan teksnya bikin bingung"
Pengguna Google,1,2026-05-08 23:20:00,"aplikasi tidak jelas, banyak bug, fitur lapor pajak tidak bisa."
Pengguna Google,1,2026-05-08 08:45:15,"tidak user friendly, ribet banget, lebih bagus aplikasi super apps yeeay"
Pengguna Google,1,2026-05-08 08:17:34,"sudah pernah bikin akun, tapi apa login lagi malah ditolak terus, padahal email dan nomor telpon sudah benar, sudah memasukan nik juga, tapi tetap tidak bisa login"
Pengguna Google,1,2026-05-08 08:09:48,susah dibuka error trus
Pengguna Google,1,2026-05-08 05:52:39,RIBET BETOL2 RIBET MAU REGISTRASI AJA .
Pengguna Google,5,2026-05-08 04:29:20,bagus
Pengguna Google,1,2026-05-08 01:10:28,"suruh masukan captca, tapi kgk ada,gk keluatan,apa yang mau di masukin"
Pengguna Google,1,2026-05-07 13:16:26,parah GK bisa diharapkan
Pengguna Google,5,2026-05-07 12:18:23,mantap
Pengguna Google,5,2026-05-07 09:02:10,bikin npwp online sekarang tuh susah . Tahun lalu mah mudah ini malah ribet sering eror . alamat geteg ngaco
Pengguna Google,4,2026-05-07 03:13:23,"baik dan bagus. segala urusan pelayanan pajak cukup detail Tampa harus ribet, jadi kita ngak susah kekantor cabang langsung cukup diaplikasi, asal bisa memahami langkah-langkah nya untuk memenuhi prosedur. yang aplikasi nya sangat bermanfaat untuk semua nya."
Pengguna Google,1,2026-05-07 02:38:37,aplikasi setan. mau daftar sdh setahun tidak bisa klik tombol verifikasi
Pengguna Google,1,2026-05-06 15:33:59,"KONYOL BGT SEKELAS PEMERINTAH GAK BISA NYIMPEN FORM DI SESSION, AKHIRNYA STUK PAS DAFTAR GAK BISA APA2"
Pengguna Google,1,2026-05-06 15:02:58,baik website dan aplikasi nya tidak bisa melakukan login
Pengguna Google,1,2026-05-05 07:17:38,aplikasinya sering nge hang
Pengguna Google,1,2026-05-05 07:11:41,"tolong lah jangan di persulit gini mau daftar online aja susah tolong perbaiki kasian orng² lah,udah mah sya lagi butuh bnget npwp malah di persulit gini"
Pengguna Google,1,2026-05-05 05:45:09,nggak beres aplikasi nya. nggak guna
Pengguna Google,1,2026-05-04 20:42:50,ahlinya IT
Pengguna Google,1,2026-05-04 02:07:50,herman kenapa cuma verivikasi otp nomor telepon . musti pake pulsa? sekelas negara yang butuh pajak tapi gak modal bener dah udah digaji tapi gak profesional
Pengguna Google,4,2026-05-03 13:25:50,kenapa ya gk bisa swafoto
Pengguna Google,1,2026-05-03 07:21:32,"Harus diperbaiki lagi sih ini. Tolong dong, ngga mungkin se abai itu para pekerja dan pengembang aplikasi. Dari tahun kemarin masa masih gini-gini aja. Malah makin ga jelas."
Pengguna Google,1,2026-05-03 03:24:58,ini menurut beyond BNI. adalah aplikasi pishing. hati hati.
Pengguna Google,1,2026-05-03 00:56:13,sebenarnya apk ini ada maafnya gak?apk pemerintah kenapa seperti ini buang buang uang tapi tidak berguna
Pengguna Google,1,2026-05-02 23:36:41,"Tiba2 gak bisa login. Lewat ""lupa kata sandi"" juga tetap gabisa walaupun pakai nomor HP dan email yang sudah didaftarin."
Pengguna Google,1,2026-05-02 14:55:28,"kasih susah sja orang buat login sdkt"" login buat apa download apknya malah susah buat login sdh cukup sblmnya sdkt"" minta login skrng tmbh parah ada-ada saja in aplikasi"
Pengguna Google,1,2026-05-02 09:04:50,Semua dibikin susah
Pengguna Google,1,2026-05-02 05:15:38,"aplikasi pemerintah ini gimana sih. gak ada yang bagus, apa akal akalan pemerintah bikan aplikasi susah di akses. lemot iya sering trobel iya. bukan mempermudah malam mempersulit. anggaran aja gede tapi akses paling bawa."
Pengguna Google,1,2026-05-02 03:13:25,tolong dong diperbaiki saya butuh banget cetak ulang NPWP nyaa kalo verivikasi nya gagal Mulu karna kendala pulsa yang udah berkali' diisi tetep ga ada notifikasi kek mnaa?!
Pengguna Google,4,2026-05-02 01:46:54,bagus
Pengguna Google,1,2026-05-01 16:39:08,ga bisa daftar
Pengguna Google,1,2026-05-01 12:34:55,"ga bisa daftar sertifikat digital, jadinya ga bisa ttd spt. no HP di profil berbeda dgn pengajuan buat sertifikat digital"
Pengguna Google,1,2026-05-01 08:32:48,pajak ga guna. giliran aplikasi yg pembayaran atau pengecekan pembayaran gampang. ini aplikasi mau cek npwp aj ga ada yg jelas
Pengguna Google,1,2026-04-30 16:48:48,"gatau deh mau lapor pajakk dibuat susah gini, ini kalo sampe ga lapor terus kena denda 100ribu kebangetan sih apalagi yg belum berpenghasilan, padahal kemarin pas pake djp online enak, ini aku udah coba berkali kali lewat wab gabisaa, bukan masalah bisa langsung datang ke kpp tpi keadaan merantau sibuk kerja lagian zaman makin modern maunya yg lebih fleksibel bisa online tpii dibuat susah ginii"
Pengguna Google,1,2026-04-30 15:31:54,konto1 app gk jelass
Pengguna Google,1,2026-04-30 15:30:51,"ini mau lapor spt kok susahnya bukan main,apa sengaja di ulur2 agar dapat denda ya,astaga rakyat udah ngikutin tapi masih selalu di persulit"
Pengguna Google,1,2026-04-30 15:15:40,menghambur hamburakan uang negara demi aplikasi payah ini. bintang 1 untuk kita yang bayar pajak tapi masih harus laporan dan dipersulit
Pengguna Google,1,2026-04-30 15:01:17,"login gagal ,padahal data sudah benar ,Hmm perbaiki lagi ,masa iya aplikasi begini error"
Pengguna Google,1,2026-04-30 13:53:41,aplikasi sama web sama sama ga jelas.
Pengguna Google,1,2026-04-30 12:06:51,banyak bug jadi lemot & eror
Pengguna Google,1,2026-04-30 11:48:43,rubah password ajha susah banget gara bug
Pengguna Google,1,2026-04-30 11:39:03,"makin kesini makin ribet, login di coretax gagal terus, padahal smua udah bener ngisinya. ini yang katanya memudahkan ??"
Pengguna Google,1,2026-04-30 11:32:30,mau login susah swafoto error jadi ga bisa login
Pengguna Google,1,2026-04-30 09:56:22,jelek bgt apk nya kebanyakan di korupnya
Pengguna Google,1,2026-04-30 09:43:01,gajelas mau login aja di bikin ribet
Pengguna Google,4,2026-04-30 09:04:51,bagus
Pengguna Google,1,2026-04-30 07:51:05,"aplikasi sampah, bayar pajak taat tapi penggunaan aplikasi jelek"
Pengguna Google,1,2026-04-30 07:34:12,"padahal aplikasi ini sangat diperlukan di dunia kerja, eh malah pembuat aplikasi kek lontong"
Pengguna Google,1,2026-04-30 07:17:22,benerin website lu mao bikin NPWP aja susah setengah mati
Pengguna Google,5,2026-04-30 07:04:23,terbantu dengan pelayanan ini terimakasih 🙏
Pengguna Google,1,2026-04-30 06:48:48,take down ajalah aplikasi ga berguna ini
Pengguna Google,3,2026-04-30 06:47:48,"seharusnya dengan app ini, proses pelaporan jadi lebih mudah. Sangat disayangkan, belum bisa dioperasikan sebagaimana mestinya. Mohon diperbaiki 🙏"
Pengguna Google,1,2026-04-30 03:08:52,"Aplikasi kentang, mau masuk akun gabisa². siaa siaa uang pajak gw 👎"
Pengguna Google,2,2026-04-30 02:49:23,aplikasi sering errror saat digunakan
Pengguna Google,1,2026-04-30 02:25:25,apk ajg bikin ribet 10 orang doang masuk ke link dah error
Pengguna Google,1,2026-04-30 00:46:20,bikin habis pulsa kirim otp dan akhirnya gagal terus aktivasi dan setiap masukkan email dan no hp yang benar selalu terjawab no hp tidak valid
Pengguna Google,5,2026-04-29 18:41:42,apk sampah ga bisa di gunakan
Pengguna Google,1,2026-04-29 16:41:32,aplikasi bodoh... ribet amaaaat... mo login aja susa baget ! isi form nya apalagi.. weleh weleh... konsep jadul yg ketinggalan jaman !
Pengguna Google,1,2026-04-29 15:10:03,"ga jelas memang aplikasi buatan pemerintah ni, aplikasi kek zaman bahela gada maju2nya, banyak bugnya. giliran pajak ajak dicomot sana-sini. buat aplikasi bagus aja pelit bnget. 👎"
Pengguna Google,1,2026-04-29 13:05:40,Gimana aplikasi pemerintah ini? niat bikin aplikasi mudab apa nggk sih susah bngt kalau mau laporan pajak
Pengguna Google,1,2026-04-29 11:17:10,ini apk DJP yang melayani publik dibawah kemkeu harusnya mudah di akses saya yakin dana membuat apk ini cukup besar agar bisa digunakan seluruh rakyat indonesia dgn mudah 😌
Pengguna Google,1,2026-04-29 11:16:06,"gaji udah dipotong pajak, masih aja kita yang repot buat lapor"
Pengguna Google,1,2026-04-29 10:10:24,"aplikasi apaan ini yang benar dikit lah kalau buat nya, sekelas pemerintah buat gini aja pernah benar"
Pengguna Google,2,2026-04-29 08:16:38,"loginnya susah,padahal sudah terverifikasi"
Pengguna Google,5,2026-04-29 07:40:07,good
Pengguna Google,1,2026-04-29 07:38:27,mengecewakan banget
Pengguna Google,1,2026-04-29 07:21:07,"sudah di potong masih harus lapor,telat denda memang di Konoha ini kalau bisa rumit kenapa harus mudah cokkkkk..."
Pengguna Google,5,2026-04-29 06:33:06,oke jos
Pengguna Google,5,2026-04-29 05:37:49,bagus
Pengguna Google,2,2026-04-29 02:38:45,"Aplikasi di gunakan ribet dan sangat jauh dari harapan, kalau belum bisa buat yang simple dan bagus, karena saat buat laporan sedang lihat atau pindah aplikasi lain balik ke DJP jadi sangat sulit dibuka kembali data yang sudah tersimpan saat dipanggil lagi gagal terus dan buat baru lagi konsepnya tidak bisa juga bukan mempercepat laporan jadi malah bikin lambat... seharusnya ditest dahulu sebelum di launching... hadehhhh"
Pengguna Google,1,2026-04-29 02:32:59,"saat validasi kontak muncul 2 pop up, yang satu sukses yang satu gagal wkwkwk,aplikasi pemerintah rata2 selalu bermasalah, birokrasi ruwet, dan makan pulsa. gk heran si"
Pengguna Google,3,2026-04-29 01:25:34,"gk pernah bisa masuk setelah log in, layar blank putih, dan saran untuk informasi pengikinian data dukcapil dibuat automatis koneksi ke dukcapil, atau alternatf bisa secara online, karna tdk semua org bisa utk kekantor pajak langsung"
Pengguna Google,1,2026-04-29 01:19:04,"aplikasi sampah web jga sampah mau daftar aja susah, kode otp ga dikirim"", foto eror mulu ga guna ni aplikasi"
Pengguna Google,1,2026-04-28 22:30:13,terburuklah intinya.
Pengguna Google,1,2026-04-28 17:57:18,effort udah jam 1 malem buat aktivasi eh nyatanya kesalahan melulu. udah bener tahun kemarin pake e-filling lebih gampang.nggak kaya gini susahnya minta ampun!!
Pengguna Google,1,2026-04-28 14:02:50,DISURUH LAPOR PAJAK TAPI DIBIKIN PUSING CARA LAPORNYA... PANTESAN PADA MALES BIKIN SPT...
Pengguna Google,1,2026-04-28 13:13:53,"dah kita bayar pajak,masih disuruh laporan,masih dipersulit lagi aplikasinya susah dibuka..menunya g suport ..."
Pengguna Google,1,2026-04-28 10:03:33,aplikasi nyusahin bukanya mempermudah malah mempersulit kacau birokrasi/ sistem
Pengguna Google,1,2026-04-28 06:58:24,bisa bikin aplikasi ngga sih kerja cuma main² aja
Pengguna Google,1,2026-04-28 04:47:07,terjadi kesalahan terus
Pengguna Google,2,2026-04-28 03:20:37,Ruwet login nya
Pengguna Google,5,2026-04-27 18:30:24,terbaik
Pengguna Google,1,2026-04-27 15:52:11,sampah login susah
Pengguna Google,1,2026-04-27 14:14:14,"Bolak balik login terus, kenapa malah nyusahin warga sihhhh"
Pengguna Google,1,2026-04-27 11:40:56,"gimana sih login aja ga bisa, disuruh aktivasi akun selalu eror, webnya sama aja lagi eror mulu, disuruh pajak malah eror terus gimana sih"
Pengguna Google,1,2026-04-27 08:14:05,Punya Instansi Negara Tapi Heran APK nya Kok Kayak Sampah..
Pengguna Google,1,2026-04-27 05:14:01,"sekelas ditjen pajak ngeluarin aplikasi kek begini, bott banget kaga bisa digunain sama sekali, makan pulsa, boro² bisa masuk, perbaiki aplikasi dan orang yg cipatin nih aplikasi juga"
Pengguna Google,1,2026-04-27 03:11:21,"aplikasi nyusahin, org mau aktivasi akun dikit2 error, udh error dilempar ke website pulak, tambah error"
Pengguna Google,1,2026-04-27 03:06:02,barang kalo dbuat pemerintah bukanya jadi solusi malah bikin tambah masalah.
Pengguna Google,1,2026-04-26 13:29:12,aplikasi kalo buatan pemerintah selalu main-main..padah rakyatnya mau taat kdp negara aja susah bgt aksesnya🤣
Pengguna Google,1,2026-04-26 12:36:29,fungsi aplikasi buat apa?
Pengguna Google,1,2026-04-26 07:07:25,APLIKASI TIDAK BERGUNA
Pengguna Google,2,2026-04-25 15:34:13,susah masuk ke aplikasinya
Pengguna Google,1,2026-04-25 03:19:34,naajissss apk sekelas pemerintah aja ngisi Otp errorrr jelas jelass tuhhh otp udh bnerrr
Pengguna Google,1,2026-04-25 00:13:52,halah tataian
Pengguna Google,1,2026-04-24 14:55:43,apk perusahaan kecil lebih baik dari apk ini
Pengguna Google,1,2026-04-24 13:49:19,Email aktivasi sama nomer telfon dipermudah jangan dipersulit
Pengguna Google,5,2026-04-24 08:58:50,bguss
Pengguna Google,1,2026-04-24 04:12:53,sampah gangguan mulu
Pengguna Google,1,2026-04-24 03:17:03,untuk apa di ubah dari djp ke cortec.. susah anjay
Pengguna Google,2,2026-04-23 13:55:37,"mohon maaf yh,gw udh berusaha buat hal sepele semacam pindah wilayah npwp udh otw ke kantor di arahin lagi ke apk udh login di apk malah eror ganti hp Masi tetap eror ini singaja buat nambah pengangguran di indo atau gimanah? gw cuman orang kecil,liat fitur' apk nya pada nggk masuk akal,bolak balik nyari jaringan,ambil foto masuk lagi. buat orang kecil kek gw aja kerja di ribet kan gini.mohon di perbaiki ini suara rakyat.. mohon di baca chat ku yang Tidk penting ini semoga bermanfaat."
Pengguna Google,1,2026-04-23 13:46:07,aplikasi sampah!!!
Pengguna Google,1,2026-04-23 12:27:35,"Aplikasi pekok emang pemerintah gabecus bikin aplikasi pelayanan online anggaran doang gede bikin aplikasi online kaya gini aja susah diakses login lah aktivasi lah,buat aktivasi aja gabisa bisa nge Bug terossss"
Pengguna Google,1,2026-04-23 10:42:07,"ngebang, gak bisa di pencet"
Pengguna Google,1,2026-04-23 09:09:19,sangat dipersulit.
